key,desc,where,type,length
elf,E-file indicator,n/a,Char,1
EIN,Employer Identification Number,Form 990-EZ Header,Num,9
tax_pd,Tax period,Form 990-EZ Header,Num,6
subseccd,Subsection code,Form 990-EZ Header,Num,2
totcntrbs,"Contributions, gifts, grants, etc received",990-EZ_Pt I-1,Num,17
prgmservrev,Program service revenue,990-EZ_Pt I-2,Num,17
duesassesmnts,Membership dues and assessments,990-EZ_Pt I-3,Num,17
othrinvstinc,Investment income,990-EZ_Pt I-4,Num,17
grsamtsalesastothr,Gross amount from sale of assets ,990-EZ_Pt I-5a,Num,17
basisalesexpnsothr,Cost or other basis and sales expenses,990-EZ_Pt I-5b,Num,17
gnsaleofastothr,Gain or (loss) from sale of assets,990-EZ_Pt I-5c,Num,17
grsincgaming,Gross income from gaming,990-EZ_Pt I-6a,Num,17
grsrevnuefndrsng,Special events gross revenue,990-EZ_Pt I-6b,Num,17
direxpns,Special events direct expenses,990-EZ_Pt I-6c,Num,17
netincfndrsng,Special events net income (or loss),990-EZ_Pt I-6d,Num,17
grsalesminusret,Gross sales of inventory,990-EZ_Pt I-7a,Num,17
costgoodsold,Less: cost of goods sold,990-EZ_Pt I-7b,Num,17
grsprft,Gross profit (or loss) from sales of inventory,990-EZ_Pt I-7c,Num,17
othrevnue,Other revenue - total,990-EZ_Pt I-8,Num,17
totrevnue,Total revenue,990-EZ_Pt I-9,Num,17
totexpns,Total expenses,990-EZ_Pt I-17,Num,17
totexcessyr,Excess or deficit,990-EZ_Pt I-18,Num,17
othrchgsnetassetfnd,Other changes in net assets,990-EZ_Pt I-20,Num,17
networthend,Net assets EOY,990-EZ_Pt I-21,Num,17
totassetsend,Total assets e-o-y,990-EZ_Pt II-25B,Num,17
totliabend,Total liabilities e-o-y,990-EZ_Pt II-26B,Num,17
totnetassetsend,Total net worth e-o-y,990-EZ_Pt II-27B,Num,17
actvtynotprevrptcd,Activity not previously reported?,990-EZ_Pt V-33,Char,1
chngsinorgcd,Significant changes to governing docs?,990-EZ_Pt V-34,Char,1
unrelbusincd,"UBI over $1,000?",990-EZ_Pt V-35a,Char,1
filedf990tcd,Organization Filed 990T,990-EZ_Pt V-35b,Char,1
contractioncd,"Liquidation, dissolution, termination, or contraction",990-EZ_Pt V-36,Char,1
politicalexpend,Direct or indirect political expenditures.,990-EZ_Pt V-37a,Num,17
