key,desc,where,type,length
elf,E-file indicator,n/a,Char,1
ein,Employer Identification Number,"Form 990-PF, Item A",Num,9
tax_prd,Tax period (YYYYMM format),Top of form,Char,6
eostatus,EO Status Code,n/a (IRS-Coded),Char,2
tax_yr,SOI Year,990-PF Header,Num,4
operatingcd,Operating foundation code,n/a (IRS-Coded),Char,1
subcd,Subsection code,n/a (IRS-Coded),Char,2
fairmrktvalamt,Total assets – e-o-y fair market value ,"990-PF Header, Item I",Num,15
grscontrgifts,Contributions received,"990-PF Pt I Line 1, col (a)",Num,15
schedbind,Schedule B indicator,n/a (IRS-Coded based on presence of Schedule B contributor information),Char,1
intrstrvnue,Interest revenue,"990-PF Pt I Line 3, col (a)",Num,15
dividndsamt,Dividends,"990-PF Pt I Line 4, col (a)",Num,15
grsrents,Gross rents,"990-PF Pt I-5a, col (a)",Num,15
grsslspramt,Gross sales price for assets ,990-PF Pt I-6b,Num,15
costsold,Cost-of-goods-sold,990-PF Pt I-10b,Num,15
grsprofitbus,Gross profit,"990-PF Pt I-10c, col (a)",Num,15
otherincamt,Other income,"990-PF Pt I-11, col (a)",Num,15
totrcptperbks,Total revenue,"990-PF Pt I-12, col (a)",Num,15
compofficers,Compensation of officers,"990-PF Pt I-13, col (a)",Num,15
pensplemplbenf,"Pension plans, employee benefits ","990-PF Pt I-15, col (a)",Num,15
legalfeesamt,Legal fees,"990-PF Pt I-16a, col (a)",Num,15
accountingfees,Accounting fees,"990-PF Pt I-16b, col (a)",Num,15
interestamt,Interest,"990-PF Pt I-17, col (a)",Num,15
depreciationamt,Depreciation and depletion,"990-PF Pt I-19, col (a)",Num,15
occupancyamt,Occupancy,"990-PF Pt I-20, col (a)",Num,15
travlconfmtngs,"Travel, conferences, and meetings","990-PF Pt I-21, col (a)",Num,15
printingpubl,Printing and publications,"990-PF Pt I-22, col (a)",Num,15
topradmnexpnsa,Total operating and administrative expenses column a ,"990-PF Pt I-24, col (a)",Num,15
contrpdpbks,"Contributions, gifts, grants paid","990-PF Pt I-25, col (a)",Num,15
totexpnspbks,Total expenses,"990-PF Pt I-26, col (a)",Num,15
excessrcpts,Net income less deficit,990-PF Pt I-27a,Num,15
totrcptnetinc,Total receipts net investment income,"990-PF Pt I-12, col (b)",Num,15
topradmnexpnsb,Total operating and administrative expenses column b ,"990-PF Pt I-24, col (b)",Num,15
totexpnsnetinc,Total expenses net investment income,"990-PF Pt I-26, col (b)",Num,15
