key,desc,where,type,length
elf,E-file indicator,n/a,Char,1
EIN,Employer Identification Number,Form 990 Header,Num,9
tax_pd,Tax period,Form 990 Header,Num,6
subseccd,Subsection code,Form 990 Header,Num,2
s501c3or4947a1cd,Described in 501(c)(3)?,990 Core_Pt IV-1,Char,1
schdbind,Schedule B required?,990 Core_Pt IV-2,Char,1
politicalactvtscd,Political activities?,990 Core_Pt IV-3,Char,1
lbbyingactvtscd,Lobbying activities?,990 Core_Pt IV-4,Char,1
subjto6033cd,Subject to proxy tax?,990 Core_Pt IV-5,Char,1
dnradvisedfundscd,Donor advised funds?,990 Core_Pt IV-6,Char,1
prptyintrcvdcd,Conservation easements?,990 Core_Pt IV-7,Char,1
maintwrkofartcd,Collections of art?,990 Core_Pt IV-8,Char,1
crcounselingqstncd,Credit counseling?,990 Core_Pt IV-9,Char,1
hldassetsintermpermcd,Term or permanent endowments?,990 Core_Pt IV-10,Char,1
rptlndbldgeqptcd,Land buildings and equipment reported?,990 Core_Pt IV-11a,Char,1
rptinvstothsecd,Investments in other securities reported?,990 Core_Pt IV-11b,Char,1
rptinvstprgrelcd,Program related investments reported?,990 Core_Pt IV-11c,Char,1
rptothasstcd,Other assets reported?,990 Core_Pt IV-11d,Char,1
rptothliabcd,Other liabilities reported?,990 Core_Pt IV-11e,Char,1
sepcnsldtfinstmtcd,Separate consolidated financial statement,990 Core_Pt IV - 11f,Char,1
sepindaudfinstmtcd,Separate audited financial statement,990 Core_Pt IV - 12a,Char,1
inclinfinstmtcd,Included in consolidated financial statements?,990 Core_Pt IV - 12b,Char,1
operateschools170cd,School?,990 Core_Pt IV-13,Char,1
frgnofficecd,Foreign office?,990 Core_Pt IV-14a,Char,1
frgnrevexpnscd,"Foreign activities, etc?",990 Core_Pt IV-14b,Char,1
frgngrntscd,"More than $5000 to organizations Part IX, line 3?",990 Core_Pt IV-15,Char,1
frgnaggragrntscd,"More than $5000 to individuals Part IX, line 3?",990 Core_Pt IV-16,Char,1
rptprofndrsngfeescd,Professional fundraising?,990 Core_Pt IV-17,Char,1
rptincfnndrsngcd,Fundraising activities?,990 Core_Pt IV-18,Char,1
rptincgamingcd,Gaming?,990 Core_Pt IV-19,Char,1
operatehosptlcd,Hospital?,990 Core_Pt IV-20a,Char,1
hospaudfinstmtcd,Hospital audited financial statement included?,990 Core_Pt IV - 20b,Char,1
rptgrntstogovtcd,Grants to organizations?,990 Core_Pt IV-21,Char,1
rptgrntstoindvcd,Grants to individuals?,990 Core_Pt IV-22,Char,1
rptyestocompnstncd,Schedule J required?,990 Core_Pt IV-23,Char,1
txexmptbndcd,Tax exempt bonds?,990 Core_Pt IV-24a,Char,1
invstproceedscd,Investment income?,990 Core_Pt IV-24b,Char,1
maintescrwaccntcd,Escrow account?,990 Core_Pt IV-24c,Char,1
actonbehalfcd,On behalf of issuer?,990 Core_Pt IV-24d,Char,1
engageexcessbnftcd,Excess benefit transaction?,990 Core_Pt IV-25a,Char,1
awarexcessbnftcd,Prior excess benefit transaction?,990 Core_Pt IV-25b,Char,1
loantofficercd,Loan to officer or DQP?,990 Core_Pt IV-26,Char,1
grantoofficercd,Grant to related person?,990 Core_Pt IV-27,Char,1
dirbusnreltdcd,Business relationship with organization?,990 Core_Pt IV-28a,Char,1
